Table 1
Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro)
ALL OTHER PEST,RODENT,BAIT SOLID,STARTER 1,"166,025",9729, € 	17.06 
,,TRAP,STARTER 1,"2,022",193, € 	10.48 
,,,STARTER 4,"8,431",318, € 	26.51 
AREA CONTINUOUS,ANT/ROACH,ALL OTHER FORM,STARTER 1,,,
,,BAIT GEL,STARTER 1,"21,606",2236, € 	9.66 
,,,STARTER 2,"13,936",1423, € 	9.79 
,,BAIT LIQUID,STARTER 1,"2,102",124, € 	16.95 
,,BAIT SOLID,STARTER 1,"48,115",6456, € 	7.45 
,,,STARTER 2,"101,748",12464, € 	8.16 
,,,STARTER 3,"8,342",634, € 	13.16 
,,,STARTER 4,"409,151",37208, € 	11.00 
,,,STARTER AO,"4,072",232, € 	17.55 
,,BAIT STATION,STARTER 1,"3,931",275, € 	14.30 
,,,STARTER 2,"2,756",130, € 	21.20 
,,,STARTER 3,318,37, € 	8.59 
,,,STARTER 4,"16,047",547, € 	29.34 
,,,STARTER 6,"47,129",6734, € 	7.00 
,,,STARTER AO,"4,990",302, € 	16.52 
,,CAGE,STARTER 1,"45,239",4576, € 	9.89 
,,CAPSULE/PAC,STARTER 1,"4,920",212, € 	23.21 
,,GEL TUBE,STARTER 1,"453,824",49396, € 	9.19 
,,,STARTER 2,"194,358",9208, € 	21.11 
,,,STARTER 3,"263,993",13782, € 	19.15 
,,,STARTER AO,"1,294",55, € 	23.54 
,,GLUE STRIP,STARTER 1,"17,647",848, € 	20.81 
,,,STARTER AO,"259,799",13035, € 	19.93 
,,LIQUID BOTTLE,STARTER 1,"14,227",1133, € 	12.56 
,,LIQUID PUMP,STARTER 1,"1,056",88, € 	12.00 
,,LIQUID TRIGGER,STARTER 1,"39,211",2441, € 	16.06 
,,PELLET/GRANULE,STARTER 1,"192,396",9347, € 	20.58 
,,,STARTER AO,"12,299",1076, € 	11.43 
,,POWDER,STARTER 1,"73,308",7558, € 	9.70 
,,,STARTER AO,"33,714",1569, € 	21.49 
,,TRAP,STARTER 1,"82,964",4701, € 	17.65 
,,,STARTER 2,"5,799",550, € 	10.54 
,,,STARTER 5,,,
