Category Name,Segment Custom,Form,Package Configuration Value,Value Sales,Unit Sales,Price (Euro),,,
ALL OTHER PEST,ALL,ASSORTED FORM,REFILL 1 + 1,-31,-3, € 	10.22 ,,,
,,,REFILL 4,0,0,,,,
,,,REFILL 5,0,0,,,,
,,,STARTER 1,-27,-2, € 	13.70 ,,,
,,,STARTER 2,0,0,,,,
,,,STARTER 3,0,0,,,,
,,,STARTER 4,0,0,,,,
,,,STARTER 6,0,0,,,,
,,,STARTER AO,0,0,,,,
,,BAIT LIQUID,STARTER 1,0,0,,,,
,,BAIT STATION,STARTER 2,0,0,,,,
,,TRAP,STARTER 1,0,0,,,,
,BUNDLE PACK,ASSORTED FORM,REFILL 1 + 1,"31,508",3122, € 	10.09 ,,,
,,,STARTER 1,"39,446",2987, € 	13.21 ,,,
,,,STARTER 2,"10,396",450, € 	23.10 ,,,
,,,STARTER AO,,,,,,
,OTHER FLYING,ASSORTED FORM,REFILL 4,71,4, € 	17.76 ,,,
,,,REFILL 5,"13,423",444, € 	30.23 ,,,
,,,STARTER 1,"19,007",1636, € 	11.62 ,,,
,,,STARTER 2,"8,333",826, € 	10.09 ,,,
,,,STARTER 3,"2,184",153, € 	14.27 ,,,
,,,STARTER 4,786,42, € 	18.72 ,,,
,,,STARTER 6,,,,,,
,,,STARTER AO,"12,255",233, € 	52.60 ,,,
,RODENT,BAIT LIQUID,STARTER 1,7,1, € 	6.74 ,,,
,,BAIT STATION,STARTER 2,"4,003",197, € 	20.32 ,,,
,,TRAP,STARTER 1,"17,008",803, € 	21.18 ,,,
AREA CONTINUOUS,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ANT/ROACH,,STARTER 1,"60,262",4236, € 	14.23 ,,,17.5
,,,STARTER 3,221,28, € 	7.88 ,,,
,,,STARTER 4,"16,875",1410, € 	11.97 ,,,
,,,STARTER 5,"6,927",571, € 	12.13 ,,,
,,,STARTER AO,"1,203",65, € 	18.50 ,,,
,,AEROSOL,STARTER 6,"21,499",4565, € 	4.71 ,,,
,,BAIT GEL,STARTER 1,"143,152",17016, € 	8.41 ,,,
,,,STARTER 2,"14,827",1429, € 	10.38 ,,,
,,BAIT SOLID,STARTER 1,"262,993",24091, € 	10.92 ,,,
,,,STARTER 2,"29,309",3220, € 	9.10 ,,,
,,,STARTER 3,"5,967",274, € 	21.78 ,,,
,,,STARTER 4,"147,605",10744, € 	13.74 ,,,
,,,STARTER AO,"7,320",452, € 	16.20 ,,,
,,BAIT STATION,REFILL 2,"3,834",101, € 	37.96 ,,,
,,,STARTER 1,"848,701",130065, € 	6.53 ,,,
,,,STARTER 2,"358,605",44005, € 	8.15 ,,,
,,,STARTER 3,"5,694",323, € 	17.63 ,,,
,,,STARTER 4,"99,877",4175, € 	23.92 ,,,
,,,STARTER 6,"58,216",10285, € 	5.66 ,,,
,,,STARTER AO,"39,733",2602, € 	15.27 ,,,
,,GEL BOTTLE,STARTER 1,"88,615",3812, € 	23.25 ,,,
,,,STARTER 2,944,81, € 	11.65 ,,,
,,,STARTER 3,"2,078",99, € 	20.99 ,,,
,,GEL TUBE,STARTER 1,"1,835,235",103479, € 	17.74 ,,,
,,,STARTER 2,"10,612",887, € 	11.96 ,,,
,,,STARTER 3,"21,644",853, € 	25.37 ,,,
,,,STARTER AO,"97,227",9430, € 	10.31 ,,,
,,GLUE STRIP,STARTER 1,"74,864",5146, € 	14.55 ,,,
,,,STARTER 2,"1,238",80, € 	15.47 ,,,
,,,STARTER 5,"15,320",1500, € 	10.21 ,,,
,,,STARTER AO,"26,700",1593, € 	16.76 ,,,
,,LIQUID BOTTLE,STARTER 1,"27,009",1476, € 	18.30 ,,,
,,LIQUID TRIGGER,STARTER 1,,,,,,
,,PELLET/GRANULE,STARTER 1,"340,589",18959, € 	17.96 ,,,
,,,STARTER 2,"5,208",368, € 	14.15 ,,,
,,,STARTER AO,"13,760",72, € 	191.11 ,,,
,,POWDER,STARTER 1,"80,529",15049, € 	5.35 ,,,
,,,STARTER 2,"5,203",148, € 	35.16 ,,,
,,,STARTER 6,"4,560",111, € 	41.08 ,,,
,,TRAP,STARTER 1,"163,441",10539, € 	15.51 ,,,
,,,STARTER 2,"1,954",72, € 	27.14 ,,,
,,,STARTER 3,"4,858",350, € 	13.88 ,,,
,,,STARTER 5,"7,667",686, € 	11.18 ,,,
,,,STARTER 6,"2,860",374, € 	7.65 ,,,
,,,STARTER AO,"7,537",469, € 	16.07 ,,,
,MOSQUITO,,STARTER 1,,,,,,
,,,STARTER AO,"33,757",3472, € 	9.72 ,,,
,,AEROSOL,STARTER 1,"2,057",119, € 	17.28 ,,,
,,ALL OTHER FORM,STARTER 1,"84,954",6844, € 	12.41 ,,,
,,,STARTER 6,,,,,,
,,,STARTER AO,"2,994",205, € 	14.61 ,,,
,,ASSORTED FORM,REFILL 1,"12,730",268, € 	47.50 ,,,
,,,REFILL 2,,,,,,
,,,REFILL AO,,,,,,
,,,STARTER 1,"89,692",1347, € 	66.59 ,,,
,,,STARTER 6,"46,225",588, € 	78.61 ,,,
,,,STARTER AO,"2,716",178, € 	15.26 ,,,
,,AUTOMATIC SPRAY,REFILL 4,,,,,,
,,BAIT SOLID,REFILL 1,"14,375",650, € 	22.12 ,,,
,,BALL,STARTER 6,295,7, € 	42.20 ,,,
,,BUTANE CARTRIDGE,REFILL 1,"21,065",575, € 	36.63 ,,,
,,,STARTER 1,"188,305",4017, € 	46.88 ,,,
,,,STARTER 2,"13,439",733, € 	18.33 ,,,
,,,STARTER AO,"3,935",183, € 	21.50 ,,,
,,CANDLE,STARTER 1,"178,441",7235, € 	24.66 ,,,
,,,STARTER AO,"14,831",1004, € 	14.77 ,,,
,,COIL,STARTER 1,"49,109",2892, € 	16.98 ,,,
,,,STARTER 5,"13,446",1112, € 	12.09 ,,,
,,,STARTER 6,,,,,,
,,,STARTER AO,"101,118",4668, € 	21.66 ,,,
,,ELECTRIC LIQUID,REFILL 1,"801,206",79390, € 	10.09 ,,,
,,,REFILL 1 + 1,"116,517",20109, € 	5.79 ,,,
,,,REFILL 1 + 2,"9,357",255, € 	36.69 ,,,
,,,REFILL 1 + 4,"2,627",121, € 	21.71 ,,,
,,,REFILL 1 + 5,659,13, € 	50.70 ,,,
,,,REFILL 1 + 6,"10,046",138, € 	72.80 ,,,
,,,REFILL 2,"186,567",21723, € 	8.59 ,,,
,,,REFILL 2 + 2,"57,473",8946, € 	6.42 ,,,
,,,REFILL 3,"290,439",25659, € 	11.32 ,,,
,,,REFILL 3 + 3,"8,144",210, € 	38.78 ,,,
,,,REFILL AO,"41,586",1274, € 	32.64 ,,,
,,,STARTER 1,"395,626",13970, € 	28.32 ,,,
,,,STARTER 2,768,45, € 	17.07 ,,,
,,,STARTER 2 + 2,"12,790",854, € 	14.98 ,,,
,,,STARTER 3,"2,110",100, € 	21.10 ,,,
,,,STARTER 4,62,3, € 	20.79 ,,,
,,,STARTER 6,,,,,,
,,,STARTER AO,"61,336",1727, € 	35.52 ,,,
,,ELECTRIC MAT,REFILL 1,"4,655",151, € 	30.83 ,,,
,,,REFILL 3,"9,535",587, € 	16.24 ,,,
,,,REFILL AO,457,102, € 	4.49 ,,,
,,,STARTER 1,"450,297",15347, € 	29.34 ,,,
